W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= +6   0.0745   0.0471
  y= +7   0.0745   0.0471
  y= +8   0.0745   0.0471
  y= +9   0.0745   0.0471
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.6051   0.6125
  x= -3   0.6038   0.6125
  x= -2   0.0000   0.0000
  x= -1   0.0000   0.0000
  x= +0   0.1273   0.0354
  x= +1   0.0822   0.0471
  x= +2   0.0745   0.0471
  x= +3   0.0745   0.0471
  x= +4   0.0745   0.0471
  x= +5   0.0745   0.0471
  x= +6   0.0745   0.0471
  x= +7   0.0745   0.0471
  x= +8   0.0745   0.0471
  x= +9   0.0745   0.0471

== apple-macos-26.5-1x-dark-standard checkerboard__rrect-md__rest box=(80,52)-(240,148)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.7121   0.7121
  y= -3   0.7121   0.7121
  y= -2   0.7091   0.7091
  y= -1   0.7062   0.7062
  y= +0   0.3537   0.3192
  y= +1   0.2419   0.2397
  y= +2   0.2396   0.2397
  y= +3   0.2403   0.2388
  y= +4   0.2409   0.2392
  y= +5   0.2409   0.2416
  y= +6   0.2416   0.2407
  y= +7   0.2346   0.2407
  y= +8   0.2344   0.2399
  y= +9   0.2396   0.2402
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.4219   0.4219
  x= -3   0.4201   0.4201
  x= -2   0.4201   0.4182
  x= -1   0.4182   0.4182
  x= +0   0.3602   0.3608
  x= +1   0.2786   0.2941
  x= +2   0.2654   0.2762
  x= +3   0.1890   0.1883
  x= +4   0.1926   0.1670
  x= +5   0.1935   0.1720
  x= +6   0.1925   0.1742
  x= +7   0.1933   0.1777
  x= +8   0.1949   0.1800
  x= +9   0.1940   0.1940

== apple-macos-26.5-2x-dark-standard dark-solid__capsule-button__rest box=(200,156)-(440,244)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1104   0.1104
  y= -3   0.1104   0.1104
  y= -2   0.1104   0.1104
  y= -1   0.1104   0.1104
  y= +0   0.2169   0.1104
  y= +1   0.1692   0.1104
  y= +2   0.1062   0.1104
  y= +3   0.1062   0.1104
  y= +4   0.1062   0.1104
  y= +5   0.1062   0.1104
  y= +6   0.1062   0.1104
  y= +7   0.1062   0.1104
  y= +8   0.1062   0.1104
  y= +9   0.1062   0.1104
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1104   0.1104
  x= -3   0.1104   0.1104
  x= -2   0.1104   0.1104
  x= -1   0.1104   0.1104
  x= +0   0.2035   0.1098
  x= +1   0.1760   0.1104
  x= +2   0.1062   0.1104
  x= +3   0.1062   0.1104
  x= +4   0.1062   0.1104
  x= +5   0.1062   0.1104
  x= +6   0.1062   0.1104
  x= +7   0.1062   0.1104
  x= +8   0.1062   0.1104
  x= +9   0.1062   0.1104

== apple-macos-26.5-2x-dark-standard dark-solid__rrect-md__rest box=(160,104)-(480,296)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1065   0.1065
  y= -3   0.1065   0.1065
  y= -2   0.1065   0.1065
  y= -1   0.1065   0.1065
  y= +0   0.2483   0.2941
  y= +1   0.1955   0.2000
  y= +2   0.1297   0.1294
  y= +3   0.1297   0.1176
  y= +4   0.1297   0.1176
  y= +5   0.1297   0.1176
  y= +6   0.1297   0.1176
  y= +7   0.1297   0.1176
  y= +8   0.1297   0.1176
  y= +9   0.1297   0.1176
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1065   0.1025
  x= -3   0.1065   0.1025
  x= -2   0.1065   0.1025
  x= -1   0.1065   0.1025
  x= +0   0.2484   0.2941
  x= +1   0.1954   0.2000
  x= +2   0.1297   0.1294
  x= +3   0.1297   0.1176
  x= +4   0.1297   0.1176
  x= +5   0.1297   0.1176
  x= +6   0.1297   0.1176
  x= +7   0.1297   0.1176
  x= +8   0.1297   0.1176
  x= +9   0.1297   0.1176
