
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=40         0.06630   0.9985   0.9855   0.9444   0.8950   0.9664   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=20         0.06598   0.9985   0.9854   0.9440   0.8953   0.9661   0.9981
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=60         0.06655   0.9985   0.9855   0.9442   0.8934   0.9664   0.9981
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=100        0.06691   0.9985   0.9855   0.9436   0.8893   0.9664   0.9981
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=200        0.06749   0.9985   0.9855   0.9428   0.8830   0.9664   0.9981
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=300        0.06772   0.9985   0.9855   0.9426   0.8806   0.9664   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=40         0.06629   0.9985   0.9854   0.9429   0.8922   0.9660   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=20         0.06658   0.9983   0.9851   0.9429   0.8936   0.9655   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=60         0.06693   0.9985   0.9853   0.9423   0.8895   0.9660   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=100        0.06808   0.9985   0.9853   0.9406   0.8835   0.9660   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=40         0.06850   0.9983   0.9849   0.9413   0.8892   0.9653   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=200        0.06926   0.9984   0.9853   0.9388   0.8734   0.9660   0.9981
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=300        0.06962   0.9984   0.9852   0.9383   0.8699   0.9660   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=60         0.06995   0.9982   0.9847   0.9401   0.8855   0.9652   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=100        0.07159   0.9982   0.9846   0.9374   0.8774   0.9651   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=200        0.07329   0.9982   0.9844   0.9343   0.8637   0.9650   0.9981
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=300        0.07376   0.9981   0.9844   0.9335   0.8590   0.9650   0.9981
