== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
hc-text__rrect-lg__rest                  calibration native  0.8066  0.1368  0.1657  0.1698  0.1428  0.1736  0.1916  0.1921  0.1917  0.1455  0.0988  0.0648  0.0812  0.1312  0.1405  0.1311  0.1483    2.97      SE  0.337
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0331  0.0327  0.0331  0.0334  0.0334  0.0327  0.0331  0.0334  0.0327  0.0309  0.0327  0.0334  0.0332  0.0329  0.0332    1.08       N  0.924
light-solid__rrect-lg__rest              calibration native  0.9323  0.0606  0.0537  0.0531  0.0538  0.0596  0.0582  0.0590  0.0578  0.0604  0.0529  0.0521  0.0533  0.0595  0.0587  0.0590  0.0586    1.16       N  0.859
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0265  0.0055  0.0014  0.0054  0.0248  0.0333  0.0327  0.0329  0.0266  0.0054  0.0014  0.0054  0.0249  0.0336  0.0325  0.0336   24.28     NNW  0.041
dark-solid__rrect-lg__rest               calibration native  0.5023  0.2407  0.0590  0.0357  0.0682  0.2265  0.2742  0.2763  0.2734  0.2407  0.0590  0.0357  0.0682  0.2265  0.2742  0.2764  0.2734    7.75      NW  0.129
mid-dark-solid__rrect-sm__rest           calibration native  0.4397  0.2682  0.0794  0.0403  0.0791  0.2427  0.3106  0.3008  0.3047  0.2684  0.0801  0.0399  0.0799  0.2435  0.3093  0.3008  0.3117    7.81     NNW  0.128
mid-dark-solid__rrect-md__rest           calibration native  0.5584  0.2174  0.0581  0.0384  0.0675  0.2054  0.2503  0.2477  0.2521  0.2174  0.0581  0.0384  0.0675  0.2054  0.2503  0.2480  0.2525    6.57     NNW  0.152
mid-dark-solid__rrect-lg__rest           calibration native  0.5825  0.2110  0.0594  0.0391  0.0671  0.1996  0.2375  0.2404  0.2384  0.2110  0.0594  0.0391  0.0671  0.1996  0.2376  0.2405  0.2385    6.16      NW  0.162
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.3517  0.3672  0.4584  0.3426  0.4141  0.3567  0.3525  0.3536  0.3014  0.3031  0.3597  0.2853  0.3755  0.3609  0.3746  0.4071  0.3488    1.61     NNE  0.622
checkerboard-8__capsule-button__rest-tint-orange calibration native  0.3516  0.3619  0.1745  0.1283  0.1257  0.4546  0.2489  0.2882  0.2686  0.2991  0.4032  0.3815  0.4290  0.2166  0.4852  0.4848  0.5260    4.18     NNW  0.239
