== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
mid-dark-solid__rrect-sm__rest           calibration native  0.0284  0.0406  0.0294  0.0286  0.0294  0.0416  0.0601  0.0625  0.0598  0.0406  0.0294  0.0282  0.0294  0.0416  0.0601  0.0628  0.0598    2.22      NW  0.449
mid-dark-solid__rrect-sm__rest           calibration web     0.0284  0.0408  0.0393  0.0294  0.0386  0.0423  0.0569  0.0641  0.0574  0.0408  0.0393  0.0294  0.0386  0.0423  0.0569  0.0641  0.0574    2.18      SE  0.458
mid-dark-solid__rrect-md__rest           calibration native  0.0252  0.0396  0.0307  0.0300  0.0296  0.0397  0.0527  0.0591  0.0543  0.0386  0.0275  0.0271  0.0286  0.0398  0.0551  0.0622  0.0555    2.29      NW  0.436
mid-dark-solid__rrect-md__rest           calibration web     0.0240  0.0367  0.0326  0.0293  0.0320  0.0378  0.0497  0.0591  0.0517  0.0365  0.0296  0.0258  0.0305  0.0378  0.0528  0.0631  0.0516    2.45      NW  0.409
mid-dark-solid__rrect-lg__rest           calibration native  0.0223  0.0377  0.0322  0.0305  0.0305  0.0369  0.0538  0.0543  0.0521  0.0354  0.0259  0.0266  0.0281  0.0369  0.0549  0.0574  0.0561    2.22      NW  0.451
mid-dark-solid__rrect-lg__rest           calibration web     0.0242  0.0363  0.0323  0.0288  0.0313  0.0373  0.0530  0.0564  0.0514  0.0361  0.0295  0.0255  0.0309  0.0373  0.0530  0.0593  0.0538    2.33      NW  0.429
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.4339  0.3247  0.4250  0.2612  0.4142  0.3175  0.2251  0.3336  0.2340  0.3112  0.3871  0.2438  0.4037  0.3020  0.2474  0.3432  0.2248    1.89     NNE  0.529
checkerboard-4__capsule-button__rest-tint-orange calibration web     0.4274  0.2888  0.4331  0.3228  0.4298  0.3251  0.2435  0.3153  0.2161  0.2792  0.4012  0.3039  0.4175  0.3063  0.2704  0.3315  0.2021    2.14     NNE  0.467
checkerboard-8__capsule-button__rest-tint-orange calibration native  0.4345  0.3239  0.1013  0.1042  0.0784  0.4731  0.0969  0.1714  0.1510  0.3123  0.4668  0.4181  0.4871  0.1324  0.4905  0.4693  0.5164    6.59     NNW  0.152
checkerboard-8__capsule-button__rest-tint-orange calibration web     0.4274  0.2953  0.0867  0.1079  0.0660  0.4839  0.0572  0.1197  0.1091  0.2870  0.4930  0.4486  0.5095  0.0805  0.5102  0.4870  0.5288    9.24     NNW  0.108
