== apple-macos-26.5-2x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
mid-dark-solid__rrect-sm__rest           calibration web     0.0331  0.0247  0.0236  0.0187  0.0150  0.0142  0.0014  0.0012  0.0014  0.0157  0.0153  0.0183  0.0236  0.0247  0.0247  0.0247  0.0247   20.00       N  0.050
mid-dark-solid__rrect-md__rest           calibration native  0.0252  0.0498  0.0309  0.0309  0.0295  0.0491  0.0671  0.0675  0.0677  0.0493  0.0277  0.0277  0.0287  0.0492  0.0674  0.0681  0.0689    2.49     NNW  0.401
mid-dark-solid__rrect-md__rest           calibration web     0.0242  0.0305  0.0281  0.0138  0.0099  0.0114  0.0002 -0.0000  0.0002  0.0121  0.0100  0.0137  0.0252  0.0280  0.0306  0.0320  0.0320     inf      NW -0.000
mid-dark-solid__rrect-lg__rest           calibration native  0.0223  0.0463  0.0322  0.0308  0.0305  0.0456  0.0622  0.0622  0.0623  0.0453  0.0259  0.0270  0.0281  0.0456  0.0632  0.0645  0.0644    2.50      NW  0.401
mid-dark-solid__rrect-lg__rest           calibration web     0.0242  0.0288  0.0262  0.0137  0.0099  0.0114 -0.0000 -0.0001 -0.0000  0.0121  0.0099  0.0135  0.0235  0.0271  0.0286  0.0302  0.0303     inf     NNW -0.002
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.4345  0.3504  0.4645  0.3254  0.4369  0.3355  0.3600  0.3837  0.3020  0.3372  0.4441  0.3148  0.4299  0.3370  0.3646  0.3936  0.3119    1.54     NNE  0.650
checkerboard-4__capsule-button__rest-tint-orange calibration web     0.4275  0.2805  0.2379  0.0171  0.0089  0.0022  0.0001  0.0000  0.0001  0.0118  0.0092  0.0126  0.2808  0.2929  0.2969  0.3338  0.2091 6974.65      NW  0.000
checkerboard-8__capsule-button__rest-tint-orange calibration native  0.4345  0.3487  0.1477  0.1257  0.1115  0.4997  0.2028  0.2579  0.2323  0.3363  0.5109  0.4542  0.4967  0.1751  0.5184  0.4893  0.5379    4.83     NNW  0.207
checkerboard-8__capsule-button__rest-tint-orange calibration web     0.4276  0.2804  0.0686  0.0126  0.0088  0.0021  0.0001 -0.0000  0.0001  0.0117  0.0091  0.0125  0.3576  0.0746  0.5169  0.4837  0.5468     inf     NNW -0.000
checkerboard-32__capsule-button__rest-tint-orange calibration native  0.4350  0.3503  0.5467  0.5386  0.5384  0.5172  0.1736  0.1863  0.1744  0.3380  0.5210  0.5213  0.5297  0.1505  0.1634  0.1748  0.1658    3.63     NNE  0.275
checkerboard-32__capsule-button__rest-tint-orange calibration web     0.4275  0.2796  0.3891  0.0187  0.0089  0.0022  0.0001  0.0001  0.0001  0.0118  0.0092  0.0163  0.3772  0.0438  0.0128  0.0127  0.0127 6861.86     NNE  0.000
